NRC,Materia,Días,Hora_ini ,Hora_fin,Profesor,Salón
40653,Investigacion de Operaciones,V,01:00 p. m.,01:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,L,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,A,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,M,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,J,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40679,Lab. de Res. Sol. y Peligrosos,A,03:00 p. m.,04:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,J,03:00 p. m.,04:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,L,03:00 p. m.,05:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,M,03:00 p. m.,05:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,V,03:00 p. m.,05:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40673,Laborat. de Analisis de Agua,L,11:00 a. m.,02:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40673,Laborat. de Analisis de Agua,A,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40673,Laborat. de Analisis de Agua,M,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40673,Laborat. de Analisis de Agua,J,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40673,Laborat. de Analisis de Agua,V,11:00 a. m.,01:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
40675,Laborat. de Analisis de Aire,V,11:00 a. m.,02:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ4/201
40675,Laborat. de Analisis de Aire,L,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40675,Laborat. de Analisis de Aire,A,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40675,Laborat. de Analisis de Aire,M,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40675,Laborat. de Analisis de Aire,J,11:00 a. m.,01:59 p. m.,VEGA - HERNANDEZ MIRIAM,1FIQ9/302
40671,Laborat. de Analisis de Suelo,V,08:00 a. m.,11:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,L,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,A,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,M,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40671,Laborat. de Analisis de Suelo,J,08:00 a. m.,10:59 a. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/302
40678,Laboratorio de Biorremediacion,A,12:00 p. m.,01:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,J,12:00 p. m.,01:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,L,12:00 p. m.,02:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,M,12:00 p. m.,02:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40678,Laboratorio de Biorremediacion,V,12:00 p. m.,02:59 p. m.,PEDRAZA - CHAN MARIA SEBASTIANA,1FIQ9/301
40569,Laboratorio de Ingenieria I,J,11:00 a. m.,12:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,V,11:00 a. m.,12:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,L,11:00 a. m.,01:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,A,11:00 a. m.,01:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40569,Laboratorio de Ingenieria I,M,11:00 a. m.,01:59 p. m.,LOPEZ - BADILLO MARIBEL,1FIQ8/105
40026,Lengua Extranjera III,A,08:00 a. m.,09:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,J,08:00 a. m.,09:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,L,08:00 a. m.,10:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,M,08:00 a. m.,10:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40026,Lengua Extranjera III,V,08:00 a. m.,10:59 a. m.,CUATZO - TONACATL GLORIA,1FIQ2/201
40027,Lengua Extranjera IV,A,12:00 p. m.,01:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,J,12:00 p. m.,01:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,L,12:00 p. m.,02:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,M,12:00 p. m.,02:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40027,Lengua Extranjera IV,V,12:00 p. m.,02:59 p. m.,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201
40028,Lengua Extranjera IV,A,03:00 p. m.,04:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,J,03:00 p. m.,04:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,L,03:00 p. m.,05:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,M,03:00 p. m.,05:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40028,Lengua Extranjera IV,V,03:00 p. m.,05:59 p. m.,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201
40681,Prev. Cont. de Conta. del Agua,A,08:00 a. m.,09:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,V,08:00 a. m.,09:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,L,08:00 a. m.,10:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,M,08:00 a. m.,10:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40681,Prev. Cont. de Conta. del Agua,J,08:00 a. m.,10:59 a. m.,GOMEZ - TEXON LLUVIA SOFIA,1FIQ2/202
40682,Prev. Cont. de Conta. del Aire,L,12:00 p. m.,02:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ7/204
40682,Prev. Cont. de Conta. del Aire,A,12:00 p. m.,02:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ1/102
40682,Prev. Cont. de Conta. del Aire,M,12:00 p. m.,02:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ7/201
40682,Prev. Cont. de Conta. del Aire,J,12:00 p. m.,03:59 p. m.,SANCHEZ - CANTU MANUEL,1FIQ1/103
40683,Prev. Cont. de Conta. del Suelo,A,02:00 p. m.,03:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,V,02:00 p. m.,03:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,L,02:00 p. m.,04:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,M,02:00 p. m.,04:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40683,Prev. Cont. de Conta. del Suelo,J,02:00 p. m.,04:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/204
40627,Probabilidad y Estadistica,L,07:00 a. m.,08:59 a. m.,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102
40627,Probabilidad y Estadistica,V,07:00 a. m.,08:59 a. m.,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102
40627,Probabilidad y Estadistica,A,07:00 a. m.,09:59 a. m.,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102
40627,Probabilidad y Estadistica,M,07:00 a. m.,09:59 a. m.,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102
40627,Probabilidad y Estadistica,J,07:00 a. m.,09:59 a. m.,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102
40579,Proyectos I + D I,A,10:00 a. m.,11:59 a. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206
40579,Proyectos I + D I,J,10:00 a. m.,11:59 a. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206
40579,Proyectos I + D I,L,10:00 a. m.,12:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206
40579,Proyectos I + D I,M,10:00 a. m.,12:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206
40579,Proyectos I + D I,V,10:00 a. m.,12:59 p. m.,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206
40684,Quimica Ambiental con Lab.,L,05:00 p. m.,07:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/202
40684,Quimica Ambiental con Lab.,M,05:00 p. m.,07:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/202
40684,Quimica Ambiental con Lab.,V,05:00 p. m.,07:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ2/202
40684,Quimica Ambiental con Lab.,A,05:00 p. m.,06:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ5/107
40684,Quimica Ambiental con Lab.,J,05:00 p. m.,06:59 p. m.,CARREON - HERRERA NAYELI ITZELL,1FIQ5/107
44735,Quimica Analitica,J,11:00 a. m.,01:59 p. m.,SANTAMARIA - JUAREZ GUILLERMO,12EMA7/108
44735,Quimica Analitica,M,11:00 a. m.,01:59 p. m.,SANTAMARIA - JUAREZ GUILLERMO,12EMA5/304
44735,Quimica Analitica,V,10:00 a. m.,01:59 p. m.,SANTAMARIA - JUAREZ GUILLERMO,12EMA7/108
44735,Quimica Analitica,L,11:00 a. m.,01:59 p. m.,SANTAMARIA - JUAREZ GUILLERMO,12EM10/215
44735,Quimica Analitica,A,11:00 a. m.,01:59 p. m.,SANTAMARIA - JUAREZ GUILLERMO,12EM10/215
44733,Quimica Organica I,J,10:00 a. m.,11:59 a. m.,PEREZ - DIAZ LYDIA MARIA,12EM10/101
44733,Quimica Organica I,V,10:00 a. m.,11:59 a. m.,PEREZ - DIAZ LYDIA MARIA,12EM10/101
44733,Quimica Organica I,L,10:00 a. m.,12:59 p. m.,PEREZ - DIAZ LYDIA MARIA,12EMA7/107
44733,Quimica Organica I,A,10:00 a. m.,12:59 p. m.,PEREZ - DIAZ LYDIA MARIA,12EMA7/107
44733,Quimica Organica I,M,10:00 a. m.,12:59 p. m.,PEREZ - DIAZ LYDIA MARIA,12EMA7/107
40988,Quimica Organica II,L,08:00 a. m.,09:59 a. m.,MORENO - MORALES GLORIA ELIZABETH,1FIQ6/107
40988,Quimica Organica II,V,08:00 a. m.,09:59 a. m.,MORENO - MORALES GLORIA ELIZABETH,1FIQ6/107
40988,Quimica Organica II,A,08:00 a. m.,10:59 a. m.,MORENO - MORALES GLORIA ELIZABETH,1FIQ1/103
40988,Quimica Organica II,M,08:00 a. m.,10:59 a. m.,MORENO - MORALES GLORIA ELIZABETH,1FIQ1/103
40988,Quimica Organica II,J,08:00 a. m.,10:59 a. m.,MORENO - MORALES GLORIA ELIZABETH,1FIQ1/103
41006,Recursos Humanos,L,06:00 p. m.,09:59 p. m.,TEPALE - TECOTL ARTURO,1FIQ1/101
41006,Recursos Humanos,A,06:00 p. m.,08:59 p. m.,TEPALE - TECOTL ARTURO,1FIQ1/101
41006,Recursos Humanos,M,06:00 p. m.,08:59 p. m.,TEPALE - TECOTL ARTURO,1FIQ1/101
41006,Recursos Humanos,J,06:00 p. m.,08:59 p. m.,TEPALE - TECOTL ARTURO,1FIQ1/101
41006,Recursos Humanos,V,06:00 p. m.,08:59 p. m.,TEPALE - TECOTL ARTURO,1FIQ1/101
41001,Recursos Nat. y Des. Sustent.,J,08:00 a. m.,08:59 a. m.,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107
41001,Recursos Nat. y Des. Sustent.,V,08:00 a. m.,09:59 a. m.,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/205
41001,Recursos Nat. y Des. Sustent.,L,08:00 a. m.,09:59 a. m.,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107
41001,Recursos Nat. y Des. Sustent.,A,08:00 a. m.,09:59 a. m.,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107
41001,Recursos Nat. y Des. Sustent.,M,08:00 a. m.,09:59 a. m.,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107
40580,Seguridad e Higiene Industrial,L,04:00 p. m.,07:59 p. m.,MARTINEZ - RIOS RENE,1FIQ1/202
40580,Seguridad e Higiene Industrial,A,04:00 p. m.,06:59 p. m.,MARTINEZ - RIOS RENE,1FIQ1/202
40580,Seguridad e Higiene Industrial,M,04:00 p. m.,06:59 p. m.,MARTINEZ - RIOS RENE,1FIQ1/202
40580,Seguridad e Higiene Industrial,J,04:00 p. m.,06:59 p. m.,MARTINEZ - RIOS RENE,1FIQ1/202
40687,Sist.de Informacion Geografica,A,02:00 p. m.,03:59 p. m.,FLORES - CESAREO JULIO CESAR,1FIQ7/204
40687,Sist.de Informacion Geografica,J,02:00 p. m.,03:59 p. m.,FLORES - CESAREO JULIO CESAR,1FIQ7/204
40687,Sist.de Informacion Geografica,L,01:00 p. m.,03:59 p. m.,FLORES - CESAREO JULIO CESAR,1FIQ1/102
40687,Sist.de Informacion Geografica,M,01:00 p. m.,03:59 p. m.,FLORES - CESAREO JULIO CESAR,1FIQ1/103
40687,Sist.de Informacion Geografica,V,01:00 p. m.,03:59 p. m.,FLORES - CESAREO JULIO CESAR,1FIQ7/201
40582,Sistem. de Gest. de la Calidad,V,03:00 p. m.,03:59 p. m.,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101
40582,Sistem. de Gest. de la Calidad,L,03:00 p. m.,04:59 p. m.,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101
40582,Sistem. de Gest. de la Calidad,A,03:00 p. m.,04:59 p. m.,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101
40582,Sistem. de Gest. de la Calidad,M,03:00 p. m.,04:59 p. m.,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101
40582,Sistem. de Gest. de la Calidad,J,03:00 p. m.,04:59 p. m.,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101
44870,Toxicologia Ambiental,M,08:00 a. m.,08:59 a. m.,CARREON - HERRERA NAYELI ITZELL,12EMA4/106A
44870,Toxicologia Ambiental,L,08:00 a. m.,09:59 a. m.,CARREON - HERRERA NAYELI ITZELL,12EMA4/106A
44870,Toxicologia Ambiental,A,08:00 a. m.,09:59 a. m.,CARREON - HERRERA NAYELI ITZELL,12EMA4/106A
44870,Toxicologia Ambiental,J,08:00 a. m.,09:59 a. m.,CARREON - HERRERA NAYELI ITZELL,12EMA4/106A
44870,Toxicologia Ambiental,V,08:00 a. m.,09:59 a. m.,CARREON - HERRERA NAYELI ITZELL,12EMA4/106A
40688,Tratamiento de Aguas Residuales,A,12:00 p. m.,01:59 p. m.,SILVETI - LOEZA ANGEL,1FIQ5/102
40688,Tratamiento de Aguas Residuales,V,12:00 p. m.,01:59 p. m.,SILVETI - LOEZA ANGEL,1FIQ5/102
40688,Tratamiento de Aguas Residuales,L,12:00 p. m.,02:59 p. m.,SILVETI - LOEZA ANGEL,1FIQ5/102
40688,Tratamiento de Aguas Residuales,M,12:00 p. m.,02:59 p. m.,SILVETI - LOEZA ANGEL,1FIQ5/102
40688,Tratamiento de Aguas Residuales,J,12:00 p. m.,02:59 p. m.,SILVETI - LOEZA ANGEL,1FIQ5/102
